,time,position,velocity
21,0.04165339469909668,"[-0.96492334  0.55747132 -0.1619259  -1.68195306  0.10032318  2.21811335
 -0.3765585 ]","[-1.42499949e-04 -5.72423652e-06  1.16096073e-03 -7.00252068e-04
 -1.20851723e-04 -8.33740657e-05  4.41778062e-04]"
22,0.043631792068481445,"[-0.96492166  0.55747202 -0.16192951 -1.68194844  0.1003243   2.21811381
 -0.37656317]","[ 9.13366760e-05  1.83059879e-04 -4.73902578e-04  1.08080674e-03
  3.19280745e-04  4.20645067e-05 -7.53089958e-04]"
23,0.04552817344665527,"[-0.96492166  0.55747352 -0.16192855 -1.68195047  0.10032676  2.21811209
 -0.37655867]","[ 4.05940782e-05  8.13599461e-05  5.31789779e-04  4.72825878e-05
  5.14800996e-05 -2.97783252e-04 -1.76467354e-04]"
24,0.047737836837768555,"[-0.96492334  0.55747037 -0.16192808 -1.68195047  0.10032641  2.21810891
 -0.37655548]","[-5.29749233e-04 -5.02571988e-04  3.54526520e-04  3.15217252e-05
 -1.69130454e-04 -4.35881109e-04  5.94431920e-04]"
25,0.04952645301818848,"[-0.96492166  0.55747514 -0.16193119 -1.68195119  0.10032644  2.21811302
 -0.37655888]","[-0.0001879   0.00073786 -0.0005755  -0.00036187  0.00022492 -0.00015552
  0.0002025 ]"
26,0.051604509353637695,"[-0.96492334  0.55747368 -0.16193332 -1.68194918  0.10032319  2.21811067
 -0.37655637]","[-4.54717627e-04  1.42335737e-04 -6.26985619e-04 -3.46434294e-04
 -1.93907536e-04  8.91178834e-05  4.06479118e-04]"
27,0.05351424217224121,"[-0.96492166  0.55746989 -0.16192808 -1.68194967  0.10032617  2.21811033
 -0.37655511]","[ 0.00054032 -0.00030795  0.00064936 -0.00033957 -0.00023312  0.00011873
  0.00049714]"
28,0.05593299865722656,"[-0.96492334  0.5574718  -0.16193121 -1.68194734  0.10032392  2.21811101
 -0.37655746]","[-3.16670079e-04 -3.22469602e-04 -6.39415014e-04  3.74786162e-06
  9.98426922e-05  2.90126761e-04  1.41829675e-04]"
29,0.057808637619018555,"[-0.96492166  0.55747488 -0.16192784 -1.68194798  0.1003268   2.21811204
 -0.37655792]","[ 0.00023047  0.00152712  0.00082944  0.00018727  0.00011219 -0.00050401
 -0.00056992]"
30,0.05962061882019043,"[-0.96492166  0.55747204 -0.16193118 -1.68194901  0.10032605  2.21811205
 -0.3765571 ]","[ 2.88033188e-04 -6.36976991e-05 -3.73775559e-04 -4.73580974e-04
  4.98628312e-05 -1.44885664e-04 -3.32418209e-04]"
31,0.061550140380859375,"[-0.96492501  0.55747138 -0.16193526 -1.68194603  0.10032774  2.21811197
 -0.37656064]","[-9.85609153e-04 -2.13914072e-04 -5.99198433e-04  8.10341479e-04
  1.80400552e-04 -6.43936283e-05 -3.05980720e-04]"
32,0.06362390518188477,"[-0.96492334  0.55747055 -0.16192975 -1.68194539  0.1003274   2.21811339
 -0.37655578]","[ 0.0003353  -0.00111589  0.00053797  0.00036015  0.00028363  0.00052522
  0.00033873]"
33,0.06553483009338379,"[-0.96492501  0.557468   -0.16193334 -1.68194651  0.10032704  2.21811267
 -0.37655761]","[-5.93393082e-04 -4.95953259e-04 -5.03315666e-04  5.31275420e-04
 -2.46935491e-04  7.51909898e-05  6.25262971e-04]"
34,0.06756973266601562,"[-0.96492695  0.55746771 -0.16192975 -1.68194229  0.10032395  2.21811125
 -0.37655604]","[-0.00109895 -0.00022042  0.00033312  0.00060733 -0.00018887 -0.0004413
  0.00019878]"
35,0.0695350170135498,"[-0.96492334  0.55747512 -0.16193192 -1.68193838  0.1003268   2.21811302
 -0.37655855]","[ 7.18004479e-04  1.44873379e-03 -4.08760352e-04  1.47635051e-03
 -2.30878156e-04 -3.78938901e-05 -9.40210963e-04]"
36,0.07186603546142578,"[-0.96492501  0.55747225 -0.16193535 -1.6819403   0.10032331  2.21811385
 -0.37656243]","[ 1.64443115e-04  4.58277701e-04 -6.14747230e-04  2.23079819e-04
 -3.06063034e-04  6.22779180e-05 -1.20906801e-03]"
37,0.07390379905700684,"[-0.96492695  0.55746778 -0.16193143 -1.68193501  0.10032254  2.21810997
 -0.37656278]","[-3.59990133e-04 -6.00604952e-04  1.59854971e-04  1.86238443e-03
  6.74225055e-05 -2.09679866e-04 -1.01208144e-03]"
38,0.0756075382232666,"[-0.9649303   0.55746506 -0.16193483 -1.68193668  0.10032213  2.21811351
 -0.37655997]","[-1.08801553e-03 -1.00935147e-03 -9.18841260e-04  8.58660412e-04
 -2.63907417e-04  6.50482423e-05  1.04023555e-04]"
39,0.07753276824951172,"[-0.9649303   0.55746609 -0.16193527 -1.6819403   0.10032568  2.21811172
 -0.3765582 ]","[-4.83562460e-04 -2.62996669e-04 -3.71659256e-05 -6.39195062e-04
  1.76580789e-04  5.03628212e-04 -1.12006603e-04]"
